study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA576691	SAMN13002079	SRX6971283	SRR10253283	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/083/SRR10253283/SRR10253283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/083/SRR10253283/SRR10253283_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/083/SRR10253283
PRJNA576691	SAMN13002052	SRX6971284	SRR10253284	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/084/SRR10253284/SRR10253284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/084/SRR10253284/SRR10253284_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/084/SRR10253284
PRJNA576691	SAMN13002099	SRX6971285	SRR10253285	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/085/SRR10253285/SRR10253285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/085/SRR10253285/SRR10253285_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/085/SRR10253285
PRJNA576691	SAMN13002098	SRX6971286	SRR10253286	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/086/SRR10253286/SRR10253286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/086/SRR10253286/SRR10253286_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/086/SRR10253286
PRJNA576691	SAMN13002097	SRX6971287	SRR10253287	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/087/SRR10253287/SRR10253287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/087/SRR10253287/SRR10253287_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/087/SRR10253287
PRJNA576691	SAMN13002094	SRX6971288	SRR10253288	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/088/SRR10253288/SRR10253288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/088/SRR10253288/SRR10253288_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/088/SRR10253288
PRJNA576691	SAMN13002093	SRX6971289	SRR10253289	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/089/SRR10253289/SRR10253289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/089/SRR10253289/SRR10253289_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/089/SRR10253289
PRJNA576691	SAMN13002092	SRX6971290	SRR10253290	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/090/SRR10253290/SRR10253290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/090/SRR10253290/SRR10253290_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/090/SRR10253290
PRJNA576691	SAMN13002091	SRX6971291	SRR10253291	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/091/SRR10253291/SRR10253291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/091/SRR10253291/SRR10253291_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/091/SRR10253291
PRJNA576691	SAMN13002090	SRX6971292	SRR10253292	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/092/SRR10253292/SRR10253292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/092/SRR10253292/SRR10253292_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/092/SRR10253292
PRJNA576691	SAMN13002078	SRX6971293	SRR10253293	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/093/SRR10253293/SRR10253293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/093/SRR10253293/SRR10253293_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/093/SRR10253293
PRJNA576691	SAMN13002077	SRX6971294	SRR10253294	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/094/SRR10253294/SRR10253294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/094/SRR10253294/SRR10253294_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR102/094/SRR10253294
